id,name,slug,created_at,updated_at
636,Head Accessories,head-accessories,NULL,NULL
637,Beauty Accessories,beauty-accessories,NULL,NULL
638,Jewellery,jewellery,NULL,NULL
639,Cosmetics Kit,cosmetics-kit,NULL,NULL
640,Eyes,eyes,NULL,NULL
641,Face,face,NULL,NULL
642,Lips,lips,NULL,NULL
643,Nails,nails,NULL,NULL
644,Eau De Perfum,eau-de-perfum,NULL,NULL
645,Mist & Spray,mist-&-spray,NULL,NULL
646,Haircare,haircare,NULL,NULL
647,Skincare,skincare,NULL,NULL
648,Infants,infants,NULL,NULL
649,Pajama,pajama,NULL,NULL
650,Pre-Teens,pre-teens,NULL,NULL
651,Teens,teens,NULL,NULL
652,Toddlers,toddlers,NULL,NULL
653,Beach Wear,beach-wear,NULL,NULL
654,Body,body,NULL,NULL
655,Bottoms,bottoms,NULL,NULL
656,Outwear,outwear,NULL,NULL
657,Plus Size,plus-size,NULL,NULL
658,Shirt,shirt,NULL,NULL
659,Sportswear,sportswear,NULL,NULL
660,T-Shirts,t-shirts,NULL,NULL
661,Clothing Set,clothing-set,NULL,NULL
662,Dresses,dresses,NULL,NULL
663,Jumpsuits,jumpsuits,NULL,NULL
664,Maternity,maternity,NULL,NULL
665,Tops,tops,NULL,NULL
666,Casual Shoes,casual-shoes,NULL,NULL
667,Sandals,sandals,NULL,NULL
668,Shoe Care,shoe-care,NULL,NULL
669,Sports Shoes,sports-shoes,NULL,NULL
670,Boots,boots,NULL,NULL
671,Formal Shoes,formal-shoes,NULL,NULL
672,Slippers,slippers,NULL,NULL
673,Flats,flats,NULL,NULL
674,Heels,heels,NULL,NULL
675,Wedges,wedges,NULL,NULL
676,Free Item Gift,free-item-gift,NULL,NULL
677,Hand Accessories,hand-accessories,NULL,NULL
678,Hair Accessories,hair-accessories,NULL,NULL
679,School,school,NULL,NULL
680,Baby Products,baby-products,NULL,NULL
681,Bags,bags,NULL,NULL
682,Belts,belts,NULL,NULL
683,Eye wear,eye-wear,NULL,NULL
684,Scarves,scarves,NULL,NULL
685,Technology,technology,NULL,NULL
686,Luggage,luggage,NULL,NULL
687,Suit Accessories,suit-accessories,NULL,NULL
688,Head Accessories,head-accessories,NULL,NULL
689,Beauty Accessories,beauty-accessories,NULL,NULL
